Row,NT,CT,QmT,TT,C,Si,Mn,P,S,Ni,Cr,Cu,Mo,RR,dB,dC,I,HVN,ASP,MS,RA,hcASP,lumpASP,cFS
Cr,0.429045308994155,0.202448839326391,0.163178787595,-0.0401700610847339,-0.275334972355061,-0.051973658931136,-0.344544751748762,-0.145171896386809,-0.382884289107073,0.258243059463676,1,0.333189949573844,0.61251255732364,-0.182135139229792,-0.31069835216767,0.0179852721897516,-0.18222857380407,0.366672002911195,0.244612309376715,-0.273240499755432,0.174158214847135,0.238972979301763,-0.176898506537927,0.470394826295372
Cu,0.214172621631316,0.20067713483306,0.161750749814392,-0.116523548829874,-0.108377619957233,0.125450012033891,-0.0700525979461291,-0.174759960798715,-0.104593594475587,0.073638607361565,0.333189949573844,1,0.294513499664754,-0.384427520082993,-0.202192860123331,0.300679330262862,0.112615576240909,0.318241911336679,0.277079754491037,-0.269050607138725,0.203159372098848,0.27425251941162,-0.204141937665445,0.300229736960995
Mo,0.313723797648308,0.266869521176652,0.215103455552325,-0.107608567170496,-0.314530982242394,-0.079730973765287,-0.240451526792142,-0.0663467467339095,-0.0530880232459701,0.160291674454007,0.61251255732364,0.294513499664754,1,-0.102910428521548,-0.173836198178251,-0.140072096849752,-0.222077657091305,0.377884845047078,0.224208370629807,-0.242782068282081,0.269501605079472,0.216880467073235,-0.282248519176703,0.423835110095163
RR,-0.275119816619883,-0.245155424378908,-0.197601354769896,0.167431617051047,0.193685275974067,0.0431293266651627,0.0108021460957628,0.19395880946322,0.0684701057373379,-0.120488297404567,-0.182135139229792,-0.384427520082993,-0.102910428521548,1,-0.0440246939771507,-0.133656037750067,-0.134796049913394,-0.260726118553539,-0.253170494240682,0.266651973591488,-0.235698592480041,-0.251551225003907,0.24295473829236,-0.204900172936874
dB,-0.10712985676215,-0.0451543027880556,-0.0363954884017551,-0.0389451783505034,-0.0788176417307873,-0.0592009981210677,-0.127547271691149,0.0713764475479162,0.261011177883122,-0.138405388140504,-0.31069835216767,-0.202192860123331,-0.173836198178251,-0.0440246939771507,1,-0.0400977294781557,0.600745433158138,-0.172957631541193,-0.226612581698806,0.246679143222586,-0.0526850296332045,-0.228332298121831,0.0566680747107214,-0.241431711085196
dC,-0.08567490319039,-0.175934822598643,-0.14180783225486,0.0804601050344301,0.0834792327823856,0.119625603862802,-0.0745793775238308,-0.196043868526799,-0.0817192462331481,0.0510669799166364,0.0179852721897516,0.300679330262862,-0.140072096849752,-0.133656037750067,-0.0400977294781557,1,0.774708914423448,-0.13902030974099,-0.155294041581651,0.125224426318763,-0.169174176259043,-0.155028231425879,0.174581430614263,-0.114210592075813
I,-0.1363417690491,-0.169337469351516,-0.136490201846189,0.039729270212507,0.0169124550060452,0.0582465236650191,-0.140385109272,-0.111682589385961,0.0997926667770699,-0.0467287982275787,-0.18222857380407,0.112615576240909,-0.222077657091305,-0.134796049913394,0.600745433158138,0.774708914423448,1,-0.22068015855273,-0.267654808395795,0.256295256664749,-0.168694032586612,-0.268530420933689,0.175540867793504,-0.244162549252533
HVN,0.690340259336254,0.918323378136159,0.752023626191401,-0.707366923883692,-0.486480399013061,0.177610631949162,-0.138634982043628,-0.149278196653941,-0.0635460176067456,0.0663450249700297,0.366672002911195,0.318241911336679,0.377884845047078,-0.260726118553539,-0.172957631541193,-0.13902030974099,-0.22068015855273,1,0.885716023073824,-0.801174196474,0.900327506814799,0.876217359907696,-0.912362963284965,0.922338150490633
ASP,0.502202003504175,0.831300814823518,0.674128305691773,-0.511041374383296,-0.223950348820809,0.0711930081559257,-0.010712775465239,-0.169507569829203,-0.0524692385069793,0.133171366493386,0.244612309376715,0.277079754491037,0.224208370629807,-0.253170494240682,-0.226612581698806,-0.155294041581651,-0.267654808395795,0.885716023073824,1,-0.934149156561889,0.833049780522287,0.999797017392254,-0.84133415646556,0.823148045486415
MS,-0.568454365378251,-0.74290848315662,-0.602262313646021,0.421238455783386,0.267354476104041,-0.0374140496527777,0.0921896046741688,0.250957793328906,0.160186258415182,-0.472471927813878,-0.273240499755432,-0.269050607138725,-0.242782068282081,0.266651973591488,0.246679143222586,0.125224426318763,0.256295256664749,-0.801174196474,-0.934149156561889,1,-0.768878091503106,-0.935138277828249,0.781198495565861,-0.775288045065677
RA,0.751295612130529,0.971063539938019,0.790089711981735,-0.760288961145381,-0.641561684772045,-0.0271211001972961,-0.150029219438515,-0.187118041284305,0.0451091779329109,0.089952499622967,0.174158214847135,0.203159372098848,0.269501605079472,-0.235698592480041,-0.0526850296332045,-0.169174176259043,-0.168694032586612,0.900327506814799,0.833049780522287,-0.768878091503106,1,0.825283845859504,-0.996444361802803,0.757105017031292
hcASP,0.491045186578351,0.822677265981847,0.666770311619048,-0.499145708506311,-0.210676542565821,0.0667188161574388,-0.00507122362010427,-0.169514359065495,-0.0523520726907393,0.135597449638267,0.238972979301763,0.27425251941162,0.216880467073235,-0.251551225003907,-0.228332298121831,-0.155028231425879,-0.268530420933689,0.876217359907696,0.999797017392254,-0.935138277828249,0.825283845859504,1,-0.833363268598965,0.815082340641386
lumpASP,-0.75894171969598,-0.978941095786728,-0.792066581626761,0.764131053430417,0.642938889942986,0.0256566366092498,0.152593993615776,0.190395804080067,-0.0464836319291245,-0.103051681135573,-0.176898506537927,-0.204141937665445,-0.282248519176703,0.24295473829236,0.0566680747107214,0.174581430614263,0.175540867793504,-0.912362963284965,-0.84133415646556,0.781198495565861,-0.996444361802803,-0.833363268598965,1,-0.766339912971053
cFS,0.56790209096217,0.747658061783052,0.579891092368316,-0.544041560649683,-0.303940760004347,0.283914318559465,-0.169621926093087,-0.172519255238561,-0.156551916898378,0.167072462745556,0.470394826295372,0.300229736960995,0.423835110095163,-0.204900172936874,-0.241431711085196,-0.114210592075813,-0.244162549252533,0.922338150490633,0.823148045486415,-0.775288045065677,0.757105017031292,0.815082340641386,-0.766339912971053,1
